STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,PUB_FIPS,CNTYFIPS,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CENTRACT,CENBLOCK,CDCODE,MAT_CENT
AK,AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,0068,DENALI,9077682372,CE,NO,1850, 0,0, 0,02,068,2008,00,00,00,-148.678298,63.443919,02,068,10150,1,2131,00,X
AK,AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,5610,KODIAK ISLAND,9074863022,CE,NO,1000, 0,0, 0,02,150,2008,00,00,00,-152.493756,57.747365,02,150,41210,5,1016,00,X
AK,AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV STREET,COLD BAY,99571,0087,ALEUTIANS EAST,9075322878,CE,NO,1100, 0,0, 0,02,013,2008,00,00,00,-161.134576,55.737526,02,013,00000,1,2021,00,X
AK,AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,1.2 MILE BEAN CREEK ROAD,COOPER LANDING,99572,0517,KENAI PENINSULA,9075951241,CE,NO,1320, 0,0, 0,02,122,2008,00,00,00,-150.134689,60.490752,02,122,00000,4,1001,00,X
AK,AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,1210,VALDEZ-CORDOVA,9074246667,CE,NO,2800, 0,0, 0,02,261,2008,00,00,00,-145.766016,60.548015,02,261,17410,2,2018,.,0
AK,AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,0769,PR WALES-OUTER KE,9078263281,CE,NO,1800, 0,0, 0,02,201,2008,00,00,00,-133.149497,55.476842,02,201,17740,2,3013,.,0
AK,AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,0229,SE FAIRBANK,9078954102,CE,NO,5000, 0,0, 0,02,240,2008,00,00,00,-145.713082,64.032565,02,240,18620,2,2039,00,X
AK,AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,0870,DILLINGHAM,9078425610,CE,NO,2430, 0,0, 0,02,070,2008,00,00,15,-158.466804,59.040264,02,070,18950,2,2005,00,0
AK,AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,0045,SE FAIRBANK,9075472334,CE,NO,1500, 0,0, 0,02,240,2008,00,00,00,-141.201813,64.786485,02,240,20380,1,1041,00,X
AK,AK0022,002,AK0022-002,ERNEST NYLIN MEMORIAL LIBRARY,50 ELIM LOOP,ELIM,99739,0050,NOME,9078903501,CE,NO,1200, 0,0, 0,02,180,2008,00,00,00,-162.06909,64.759003,02,180,00000,1,3062,00,X
AK,AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,CE,NO,62100, 0,0, 0,02,090,2008,00,00,00,-147.73849,64.838451,02,090,24230,1,2027,00,0
AK,AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,601 SNOWMAN LANE,NORTH POLE,99705,7716,FAIRBANKS NORTH STAR,9074886101,BR,NO,4200, 0,0, 0,02,090,2008,00,00,00,-147.350744,64.749439,02,090,55910,16,3038,00,0
AK,AK0023,004,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,BS,NO,-3, 0,1, 0,02,090,2008,00,00,00,0,0,00,000,00000,0,0,.,.
AK,AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,0149,YUKON-KOYUKUK,9076564518,CE,NO,1500, 0,0, 0,02,290,2008,00,00,00,-154.733323,65.960429,02,290,00000,3,1004,00,X
AK,AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,0173,VALDEZ-CORDOVA,9078225427,CE,NO,2000, 0,0, 0,02,261,2008,00,00,00,-146.364365,62.048766,02,261,48200,1,2015,00,X
AK,AK0027,003,AK0027-003,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,0173,VALDEZ-CORDOVA,9078225427,BS,NO,-3, 0,1, 0,02,261,2008,00,00,00,0,0,00,000,00000,0,0,.,.
AK,AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,MILE .25 AIRPORT ROAD,GUSTAVUS,99826,0279,SKAGWAY-ANGOON,9076972350,CE,NO,3052, 0,0, 0,02,232,2008,00,00,00,-136.855686,58.833884,02,232,00000,3,1001,00,X
AK,AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,1089,HAINES,9077662545,CE,NO,8400, 0,0, 0,02,100,2008,00,00,00,-135.441616,59.238516,02,100,31050,1,2026,00,0
AK,AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,SUNTRANA ROAD,HEALY,99743,0518,DENALI,9076832507,CE,NO,4560, 0,0, 0,02,068,2008,00,00,00,-148.562161,64.013251,02,068,00000,1,2002,00,X
AK,AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,HOLLIS SCHOOL ROAD,HOLLIS,99950,0005,PR WALES-OUTER KE,9075307011,CE,NO,2300, 0,0, 0,02,201,2008,00,00,00,-132.879348,55.764769,02,201,00000,1,1066,00,X
AK,AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,141 WEST PIONEER AVENUE,HOMER,99603,7523,KENAI PENINSULA,9072353180,CE,NO,3500, 0,0, 0,02,122,2008,00,00,00,-151.547189,59.643992,02,122,33140,10,1021,00,0
AK,AK0033,002,AK0033-002,HOPE/SUNRISE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,0127,KENAI PENINSULA,9077823121,CE,NO,2304, 0,0, 0,02,122,2008,00,00,00,-149.636592,60.916201,02,122,33580,3,1061,00,X
AK,AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,NO,8000, 0,0, 0,02,110,2008,00,00,00,-134.391732,58.275804,02,110,36400,6,3002,00,0
AK,AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,"9105 MENDENHALL MALL ROAD, #134",JUNEAU,99801,7156,JUNEAU,9077890125,BR,NO,7160, 0,0, 0,02,110,2008,00,00,00,-134.582292,58.371179,02,110,36400,2,5014,00,0
AK,AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865324,CE,NO,17000, 0,0, 0,02,110,2008,00,00,00,-134.400041,58.297597,02,110,36400,5,2042,00,0
AK,AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,MILE 110 STERLING HIGHWAY,KASILOF,99610,0176,KENAI PENINSULA,9072624844,CE,NO,2553, 0,0, 0,02,122,2008,00,00,00,-151.275376,60.353801,02,122,37250,7,5027,00,X
AK,AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,NO,10000, 0,0, 0,02,122,2008,00,00,00,-151.244012,60.558132,02,122,38420,6,3027,00,0
AK,AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,KETCHIKAN GATEWAY,9072253331,CE,NO,6100, 0,0, 0,02,130,2008,00,00,00,-131.650775,55.344796,02,130,38970,3,2016,00,0
AK,AK0040,002,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,7341,KODIAK ISLAND,9074868688,CE,NO,9202, 0,0, 0,02,150,2008,00,00,00,-152.398494,57.793921,02,150,40950,3,2016,00,0
AK,AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,0297,NORTHWEST ARCTIC,9074422410,CE,NO,1700, 0,0, 0,02,188,2008,00,00,00,-162.587444,66.897887,02,188,41830,2,2006,00,0
AK,AK0041,003,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,SELAWIK HIGH SCHOOL BUILDING,SELAWIK,99770,0119,NORTHWEST ARCTIC,9074842142,BR,NO,2000, 0,0, 0,02,188,2008,00,00,00,-159.566744,66.294974,02,188,00000,1,4000,00,X
AK,AK0044,002,AK0044-002,MCGRATH COMMUNITY SCHOOL LIBRARY,CHINANA AVENUE,MCGRATH,99627,0249,YUKON-KOYUKUK,9075243843,CE,NO,1650, 0,0, 0,02,290,2008,00,00,00,-154.934265,62.952118,02,290,00000,4,2100,00,X
AK,AK0046,002,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,0007,PR WALES-OUTER KE,9078866015,CE,NO,2400, 0,0, 0,02,201,2008,00,00,00,-131.582243,55.132036,02,201,48870,4,2003,.,0
AK,AK0047,003,AK0047-003,SOUTH NAKNEK BRANCH LIBRARY,AIRPORT ROAD,SOUTH NAKNEK,99670,0086,BRISTOL BAY,9072466513,BR,NO,840, 0,0, 0,02,060,2008,00,00,00,-156.906022,58.690714,02,060,72190,1,1017,00,X
AK,AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,0147,BRISTOL BAY,9072464465,CE,NO,1456, 0,0, 0,02,060,2008,00,00,00,-156.711592,58.848208,02,060,00000,1,1001,00,X
AK,AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,0040,YUKON-KOYUKUK,9078325812,CE,NO,2421, 0,0, 0,02,290,2008,00,00,00,-149.092702,64.562223,02,290,53050,2,2151,00,0
AK,AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,0165,KENAI PENINSULA,9075673333,CE,NO,3200, 0,0, 0,02,122,2008,00,00,00,-151.691726,60.027509,02,122,31710,8,1026,00,0
AK,AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,1168,NOME,9074436627,CE,NO,1800, 0,0, 0,02,180,2008,00,00,00,-165.40543,64.497317,02,180,54920,2,3021,.,0
AK,AK0053,002,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,99764,0496,SE FAIRBANK,9077782444,CE,NO,2562, 0,0, 0,02,240,2008,00,00,00,-141.945631,62.944838,02,240,00000,1,1173,00,X
AK,AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077454690,CE,NO,11400, 0,0, 0,02,170,2008,00,00,00,-149.113282,61.598552,02,170,58660,12,3047,00,0
AK,AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,0712,SKAGWAY-ANGOON,9077352500,CE,NO,1200, 0,0, 0,02,232,2008,00,00,00,-136.135508,58.107964,02,232,00000,3,2047,00,X
AK,AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,12 NORDIC DRIVE,PETERSBURG,99833,0549,WRANGELL-PETERSBU,9077723349,CE,NO,2645, 0,0, 0,02,280,2008,00,00,00,-132.562412,57.034899,02,280,00000,1,1000,00,X
AK,AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,0049,KODIAK ISLAND,9074542288,CE,NO,1360, 0,0, 0,02,150,2008,00,00,00,-152.883298,57.874537,02,150,63610,1,2014,00,X
AK,AK0060,002,AK0060-002,RUBY COMMUNITY LIBRARY,10 BOBBY KENNEDY SR. WAY,RUBY,99768,0010,YUKON-KOYUKUK,9074684432,CE,NO,960, 0,0, 0,02,290,2008,00,00,00,-155.726645,64.398398,02,290,00000,3,1137,00,X
AK,AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,0275,KENAI PENINSULA,9072347662,CE,NO,4460, 0,0, 0,02,122,2008,00,00,00,-151.531478,59.644628,02,122,33140,10,1034,00,X
AK,AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY,238 5TH AVENUE,SEWARD,99664,2389,KENAI PENINSULA,9072244008,CE,NO,7900, 0,0, 0,02,122,2008,00,00,00,-149.438759,60.101788,02,122,68560,13,2079,00,0
AK,AK0067,002,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835,7570,SITKA,9077474020,CE,NO,7300, 0,0, 0,02,220,2008,00,00,00,-135.334477,57.049616,02,220,70540,2,4008,.,0
AK,AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,0394,SKAGWAY-ANGOON,9079832665,CE,NO,3220, 0,0, 0,02,232,2008,00,00,00,-135.308005,59.460613,02,232,70760,1,1094,00,0
AK,AK0069,002,AK0069-002,SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY STREET,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,NO,14033, 0,0, 0,02,122,2008,00,00,00,-151.072559,60.492342,02,122,71640,5,3024,00,0
AK,AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE MINE ROAD,SUTTON,99674,0266,MATANUSKA-SUSITNA,9077454467,CE,NO,2255, 0,0, 0,02,170,2008,00,00,00,-148.945035,61.754516,02,170,74525,2,1118,00,X
AK,AK0071,001,AK0071-002,TAKOTNA COMMUNITY LIBRARY,RIVERSIDE DRIVE,TAKOTNA,99675,9999,YUKON-KOYUKUK,9072982229,CE,NO,160, 0,0, 0,02,290,2008,00,00,00,-156.124971,62.975157,02,290,74610,4,2049,00,X
AK,AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,MILE 13.5 TALKEETNA SPUR ROAD,TALKEETNA,99676,0768,MATANUSKA-SUSITNA,9077332359,CE,NO,2590, 0,0, 0,02,170,2008,00,00,00,-149.889642,62.17975,02,170,86470,1,2027,00,X
AK,AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,7109,YUKON-KOYUKUK,9073667211,CE,NO,1125, 0,0, 0,02,290,2008,00,00,00,-151.889321,65.326511,02,290,00000,2,1125,00,X
AK,AK0074,002,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,0035,SKAGWAY-ANGOON,9077362248,CE,NO,896, 0,0, 0,02,232,2008,00,00,00,-135.212133,57.777547,02,232,76260,3,3038,00,X
AK,AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,0227,SE FAIRBANK,9078835623,CE,NO,960, 0,0, 0,02,240,2008,00,00,00,-142.244612,63.921803,02,240,00000,1,1111,00,X
AK,AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS STREET,VALDEZ,99686,0609,VALDEZ-CORDOVA,9078354632,CE,NO,15000, 0,0, 0,02,261,2008,00,00,00,-146.353761,61.129189,02,261,82200,3,5004,00,0
AK,AK0078,002,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7085,MATANUSKA-SUSITNA,9073732242,CE,NO,7687, 0,0, 0,02,170,2008,00,00,00,-149.441447,61.582543,02,170,83080,8,3024,00,0
AK,AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,0129,MATANUSKA-SUSITNA,9074957323,CE,NO,4111, 0,0, 0,02,170,2008,00,00,00,-150.96573,61.670063,02,170,00000,1,1170,00,X
AK,AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND AVENUE,WRANGELL,99929,0679,WRANGELL-PETERSBU,9078743535,CE,NO,5930, 0,0, 0,02,280,2008,00,00,00,-132.379819,56.451462,02,280,86380,3,4008,00,X
AK,AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,0049,BETHEL,9077654600,CE,NO,2500, 0,0, 0,02,050,2008,00,00,00,-161.191731,60.887264,02,050,00870,1,3976,00,X
AK,AK0085,004,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,9704,VALDEZ-CORDOVA,9078223015,CE,NO,1440, 0,0, 0,02,261,2008,00,00,00,-143.875489,61.665308,02,261,00000,1,4000,00,X
AK,AK0087,002,AK0087-002,KOYUK PUBLIC LIBRARY,BIRCH STREET,KOYUK,99753,0005,NOME,9079633971,CE,NO,-1,20,0, 0,02,180,2008,00,00,00,-161.149106,64.939408,02,180,41940,1,3141,00,X
AK,AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,PHILLIP STREET,TULUKSAK,99679,0115,BETHEL,9076955636,CE,NO,1495, 0,0, 0,02,050,2008,00,00,00,-160.953261,61.108368,02,050,78790,1,3013,00,X
AK,AK0092,004,AK0092-002,NAQIAKSRAT LIBRARY,ROCKY ROAD & FISH RIVER ROAD,WHITE MOUNTAIN,99784,0130,NOME,9076383411,CE,NO,562, 0,0, 0,02,180,2008,00,00,00,-162.554438,65.006263,02,180,00000,1,3056,00,X
AK,AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,0010,NORTH SLOPE,9077632541,BR,NO,2225, 0,0, 0,02,185,2008,00,00,00,-160.024847,70.639117,02,185,82750,2,2016,00,0
AK,AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,0148,NORTH SLOPE,9073682662,BR,NO,2849, 0,0, 0,02,185,2008,00,00,00,-166.771754,68.346059,02,185,61630,2,1030,00,0
AK,AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,1029,NORTH SLOPE,9076613226,BR,NO,1230, 0,0, 0,02,185,2008,00,00,00,-151.7245,68.146898,02,185,02080,2,3093,00,X
AK,AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,9999,NORTH SLOPE,9076336315,BR,NO,800, 0,0, 0,02,185,2008,00,00,00,-157.418523,70.475385,02,185,04500,2,2044,00,0
AK,AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,0020,NORTH SLOPE,9076406626,BR,NO,2880, 0,0, 0,02,185,2008,00,00,00,-143.631181,70.129089,02,185,36990,2,3017,00,0
AK,AK0094,008,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,99789,0167,NORTH SLOPE,9074806712,BR,NO,1305, 0,0, 0,02,185,2008,00,00,00,-151.00117,70.223123,02,185,56320,2,3120,00,0
AK,AK0094,009,AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,0077,NORTH SLOPE,9078332311,BR,NO,888, 0,0, 0,02,185,2008,00,00,00,-163.016573,69.74103,02,185,61700,2,1004,00,0
AK,AK0094,010,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,2130,NORTH SLOPE,9078524050,CE,NO,7000, 0,0, 0,02,185,2008,00,00,00,-156.75342,71.298453,02,185,05200,1,1082,00,0
AK,AK0095,002,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,0100,BETHEL,9078253630,CE,NO,1800, 0,0, 0,02,050,2008,00,00,00,-161.409735,60.878169,02,050,00000,1,3950,00,X
AK,AK0097,002,AK0097-002,ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,99829,0157,SKAGWAY-ANGOON,9079453611,CE,NO,4184, 0,0, 0,02,232,2008,00,00,00,-135.437574,58.109155,02,232,33360,3,2021,00,0
AK,AK0099,002,AK0099-002,MOOSE PASS PUBLIC LIBRARY,200 DEPOT ROAD,MOOSE PASS,99631,0154,KENAI PENINSULA,9072883111,CE,NO,360, 0,0, 0,02,122,2008,00,00,00,-149.508366,60.524651,02,122,50190,3,1134,00,X
AK,AK0100,001,AK0100-002,NIKOLAI COMMUNITY/SCHOOL LIBRARY,TOP OF THE KUSKOKWIM SCHOOL BUILDIN,NIKOLAI,99691,9091,YUKON-KOYUKUK,9072932427,CE,NO,1640, 0,0, 0,02,290,2008,00,00,00,-154.374291,63.006719,02,290,54150,4,2103,00,X
AK,AK0101,002,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD,SAND POINT,99661,0269,ALEUTIANS EAST,9073832393,CE,NO,1950, 0,0, 0,02,013,2008,00,00,00,-160.487593,55.347618,02,013,67020,1,3006,00,0
AK,AK0102,002,AK0102-002,EGEGIK VILLAGE LIBRARY,289 AIRPORT WAY,EGEGIK,99579,0029,LAKE AND PENINSULA,9072332211,CE,NO,1500, 0,0, 0,02,164,2008,00,00,00,-157.335671,58.178169,02,164,21150,1,2011,00,X
AK,AK0103,002,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,MILE 115 PARKS HIGHWAY,TRAPPER CREEK,99683,0388,MATANUSKA-SUSITNA,9077331546,CE,NO,849, 0,0, 0,02,170,2008,00,00,00,-150.323847,61.410936,02,170,00000,5,2083,00,X
AK,AK0104,002,AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,210 TRAILWAY STREET,HOLY CROSS,99602,0210,YUKON-KOYUKUK,9074767131,CE,NO,1450, 0,0, 0,02,290,2008,00,00,00,-160.440315,62.229804,02,290,00000,4,1017,00,X
AK,AK0113,002,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,130 THIRD STREET,OUZINKIE,99644,0130,KODIAK ISLAND,9076802323,CE,NO,600, 0,0, 0,02,150,2008,00,00,00,-152.508261,57.921227,02,150,58550,1,2035,00,X
AK,AK0115,002,AK0115-002,UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE,UNALASKA,99685,1370,ALEUTIANS WEST,9075815060,CE,NO,9400, 0,0, 0,02,016,2008,00,00,00,-166.529638,53.870522,02,016,80770,2,2003,00,0
AK,AK0116,001,AK0116-002,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,99557,0270,BETHEL,9076754435,CE,NO,400, 0,0, 0,02,050,2008,00,00,00,-156.68653,61.489294,02,050,00000,3,2068,00,X
AK,AK0117,001,AK0117-002,HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,99923,0050,PR WALES-OUTER,2506369148,CE,NO,1200, 0,0, 0,02,201,2008,00,00,00,-130.729637,55.635174,02,201,00000,3,1016,00,X
AK,AK0120,001,AK0120-002,INNOKO RIVER COMMUNITY/SCHOOL LIBRARY,101 PINE STREET,SHAGELUK,99665,0053,YUKON-KOYUKUK,9074738233,CE,NO,512, 0,0, 0,02,290,2008,00,00,00,-159.795485,62.640118,02,290,00000,4,1009,00,X
AK,AK0121,001,AK0121-002,BLACKWELL COMMUNITY/SCHOOL LIBRARY,1 AIRPORT ROAD,ANVIK,99558,0090,YUKON-KOYUKUK,9076636348,CE,NO,560, 0,0, 0,02,290,2008,00,00,00,-160.12291,63.27563,02,290,00000,4,1020,00,X
