STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,WKS_OPEN,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,REAPLOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,ADDRTYPE,MSTATUS,SCORE
AK,AK0011,002,N,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,9075120880,CE,0,R_16,0,144,48,2017,00,00,00,-152.234562,57.612147,02,150,13860,13732,43,07,1,3123,0200,-1,M,PointAddress,E,97.36
AK,AK0014,002,N,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,1100,R_16,0,600,50,2017,00,00,00,-162.709803,55.207101,02,013,16530,3296,43,07,1,1236,0200,-1,M,StreetName,E,100
AK,AK0015,002,N,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,1320,R_16,0,1092,52,2017,00,00,15,-149.824176,60.493891,02,122,17190,58506,43,07,3,1191,0200,-1,M,PointAddress,E,100
AK,AK0016,002,Y,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,CE,5652,R_16,0,2587,52,2017,00,00,15,-145.758687,60.544525,02,261,17410,9355,43,07,2,2021,0200,-1,M,StreetAddress,E,100
AK,AK0017,003,Y,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,CE,1800,R_16,0,1636,52,2017,00,00,00,-133.148393,55.474758,02,198,17740,6347,M,07,2,3028,0200,-1,M,StreetAddress,E,100
AK,AK0018,002,Y,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,M,NORTHWEST ARCTIC,9073632136,CE,375,IP15,-1,-1,-1,2017,00,00,00,-163.490055,65.822284,02,188,M,7673,43,07,1,5059,0200,-1,M,Postal,E,100
AK,AK0019,002,Y,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANK,9078954102,CE,5000,R_16,0,2496,52,2017,00,00,00,-145.734637,64.04679,02,240,18620,6876,43,07,4,2086,0200,-1,M,StreetAddress,E,100
AK,AK0020,002,Y,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,CE,2430,R_16,0,2040,52,2017,00,00,00,-158.463822,59.040686,02,070,18950,4954,43,07,2,2003,0200,-1,M,StreetName,T,90.54
AK,AK0021,002,Y,AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,M,SE FAIRBANK,9075472334,CE,1500,R_16,0,713,51,2017,00,00,00,-141.202641,64.787109,02,240,20380,6876,43,07,1,1191,0200,-1,M,Postal,E,100
AK,AK0023,002,Y,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591031,CE,70456,R_16,0,1732,52,2017,00,00,00,-147.738638,64.838451,02,090,24230,100605,13,02,1,2027,0200,21820,0,StreetAddress,E,100
AK,AK0023,003,Y,AK0023-003,NORTH POLE BRANCH LIBRARY,656 NORTH POLE HIGH SCHOOL BLVD.,NORTH POLE,99705,M,FAIRBANKS NORTH STAR,9074886101,BR,18410,R_16,0,1992,52,2017,00,00,00,-147.355652,64.750582,02,090,55910,100605,23,04,16,2013,0200,21820,0,Postal,E,100
AK,AK0023,004,Y,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,BS,70456,R_16,1,3118,52,2017,00,00,00,-147.738638,64.838451,02,090,24230,100605,13,02,1,2027,0200,21820,0,StreetAddress,E,100
AK,AK0025,002,Y,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,M,YUKON-KOYUKUK,9076561205,CE,1500,R_16,0,-1,50,2017,00,00,00,-156.88152,64.749499,02,290,27530,5526,43,07,3,2032,0200,-1,M,StreetName,E,100
AK,AK0027,002,N,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,CE,2000,R_16,0,-1,52,2017,00,00,00,-145.561269,62.10946,02,261,28740,9355,43,07,1,2030,0200,-1,M,StreetAddress,E,100
AK,AK0028,002,Y,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,CE,3052,R_16,0,1300,52,2017,00,00,00,-137.177227,58.736309,02,105,M,2078,43,07,3,1000,0200,-1,M,Postal,E,100
AK,AK0029,002,Y,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,CE,8400,R_16,0,3120,52,2017,00,00,00,-135.447976,59.233451,02,100,31050,2496,43,07,1,3013,0200,-1,M,StreetAddress,E,100
AK,AK0030,002,Y,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,CE,4560,R_16,0,1000,52,2017,00,00,00,-149.01818,63.873445,02,068,32150,1953,43,07,1,2506,0200,-1,M,StreetAddress,E,90.92
AK,AK0031,002,N,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,CE,2300,R_16,0,1008,48,2017,00,00,00,-132.951791,55.929205,02,198,M,6347,43,07,1,1151,0200,-1,M,Postal,E,100
AK,AK0032,002,Y,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,17000,R_16,0,2704,52,2017,00,00,00,-151.531835,59.643586,02,122,33140,58506,43,06,10,1046,0200,-1,M,PointAddress,E,100
AK,AK0033,002,N,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,CE,2304,R_16,0,1204,52,2017,00,00,00,-149.64132,60.918742,02,122,33580,58506,42,07,3,1398,0200,-1,M,PointAddress,E,100
AK,AK0035,002,Y,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,8000,R_16,0,1872,52,2017,00,00,00,-134.395317,58.276886,02,110,36400,32468,33,05,6,3017,0200,27940,1,PointAddress,E,100
AK,AK0035,003,Y,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,3025 DIMOND PARK LOOP,JUNEAU,99801,9672,JUNEAU,9077890125,BR,20000,R_16,0,3224,52,2017,00,00,00,-134.573657,58.389717,02,110,36400,32468,33,05,2,3005,0200,27940,1,Postal,E,100
AK,AK0035,004,Y,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865249,CE,17000,R_16,0,2349,52,2017,00,00,00,-134.404544,58.298585,02,110,36400,32468,33,05,5,2013,0200,27940,1,StreetAddress,E,100
AK,AK0037,002,Y,AK0037-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,M,KENAI PENINSULA,9072525886,CE,2553,R_16,0,735,48,2017,00,00,00,-151.266222,60.308254,02,122,16420,58506,43,07,7,6047,0200,-1,M,PointAddress,E,100
AK,AK0038,002,Y,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,20000,R_16,0,3120,52,2017,00,00,00,-151.246778,60.559232,02,122,38420,58506,33,06,6,3040,0200,-1,M,PointAddress,E,100
AK,AK0039,002,Y,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,CE,16726,R_16,0,3016,52,2017,00,00,00,-131.651304,55.349012,02,130,38970,13746,33,06,3,1000,0200,28540,1,PointAddress,E,100
AK,AK0040,002,Y,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,6487,KODIAK ISLAND,9074868686,CE,16000,R_16,0,3432,52,2017,00,00,00,-152.397484,57.792622,02,150,40950,13732,33,06,3,2016,0200,-1,M,PointAddress,E,100
AK,AK0041,002,Y,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,CE,1700,R_16,0,2000,50,2017,00,00,00,-162.587344,66.899306,02,188,41830,7673,33,06,2,2007,0200,-1,M,StreetAddress,E,90.92
AK,AK0041,003,Y,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,2600 MUSK OX PARKWAY,SELAWIK,99770,M,NORTHWEST ARCTIC,9074842142,BR,2000,R_16,0,300,50,2017,00,00,00,-159.414579,66.295539,02,188,M,7673,43,07,1,4054,0200,-1,M,Postal,E,100
AK,AK0044,002,Y,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,CE,2536,R_16,0,1196,52,2017,00,00,00,-155.588852,62.949704,02,290,46010,5526,43,07,4,2204,0200,-1,M,StreetName,E,100
AK,AK0046,002,Y,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,CE,990,R_16,0,1000,50,2017,00,00,00,-131.5752,55.128457,02,198,48870,6347,M,07,9401,2010,0200,-1,M,StreetInt,E,95.7
AK,AK0047,003,Y,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,M,BRISTOL BAY,9072466513,BR,840,R_16,0,1328,52,2017,00,00,00,-157.006375,58.73204,02,060,52060,898,43,07,1,1022,0200,-1,M,StreetName,E,91.1
AK,AK0047,004,Y,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,CE,1456,R_16,0,2080,52,2017,00,00,00,-157.006441,58.734779,02,060,52060,898,43,07,1,1022,0200,-1,M,Postal,E,100
AK,AK0048,002,Y,AK0048-002,NENANA PUBLIC LIBRARY,106 EAST SECOND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,CE,2421,R_16,0,-1,52,2017,00,00,00,-149.095578,64.562392,02,290,53050,5526,43,07,2,2282,0200,-1,M,StreetAddress,E,92.43
AK,AK0051,002,Y,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,M,KENAI PENINSULA,9075673333,CE,3200,R_16,0,1456,52,2017,00,00,00,-151.674982,60.04179,02,122,54480,58506,43,07,8,1063,0200,-1,M,PointAddress,E,100
AK,AK0052,002,Y,AK0052-002,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,M,NOME,9074436628,CE,3086,R_16,0,-1,52,2017,00,00,07,-165.403861,64.497236,02,180,54920,9917,33,06,2,3028,0200,-1,M,Postal,E,77
AK,AK0053,002,Y,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,496 NORTHWAY ROAD,NORTHWAY,99764,M,SE FAIRBANK,9077782310,CE,2562,IP15,-1,-1,-1,2017,00,00,00,-141.884183,62.960966,02,240,56220,6876,43,07,1,1513,0200,-1,M,StreetName,E,100
AK,AK0055,002,Y,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,CE,11922,R_16,0,-1,52,2017,00,00,00,-149.113009,61.599781,02,170,58660,104365,32,03,12.01,2008,0200,11260,0,PointAddress,E,100
AK,AK0056,002,Y,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,CE,1200,R_16,0,728,52,2017,00,00,00,-136.227078,57.960305,02,105,59650,2078,43,07,3,1215,0200,-1,M,StreetName,E,100
AK,AK0057,002,Y,AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,CE,9700,R_16,0,2912,52,2017,00,00,00,-132.95473,56.81128,02,195,60310,3149,M,06,2,2025,0200,-1,M,StreetAddress,E,92.43
AK,AK0058,002,Y,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074548185,CE,1360,R_16,0,780,52,2017,00,00,00,-152.883859,57.866332,02,150,63610,13732,43,07,1,2439,0200,-1,M,StreetAddress,E,100
AK,AK0061,002,Y,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,M,ALEUTIANS WEST,9075463321,CE,1280,R_16,0,800,46,2017,00,00,00,-170.283949,57.12614,02,016,66470,5647,43,07,1,1457,0200,-1,M,StreetName,E,100
AK,AK0064,002,Y,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,CE,2791,R_16,0,887,52,2017,00,00,00,-151.714654,59.438738,02,122,68340,58506,43,07,12,1314,0200,-1,M,StreetAddress,E,100
AK,AK0065,002,Y,AK0065-002,SEWARD COMMUNITY LIBRARY & MUSEUM,239 6TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244082,CE,22542,R_16,0,2604,52,2017,00,14,00,-149.437275,60.102509,02,122,68560,58506,43,06,13,2083,0200,-1,M,PointAddress,E,100
AK,AK0067,002,Y,AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,CE,9920,R_16,0,3398,52,2017,00,00,00,-135.334131,57.049692,02,220,70540,8830,M,06,2,4027,0200,-1,M,PointAddress,E,100
AK,AK0068,002,Y,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,CE,5014,R_16,0,2660,52,2017,00,00,00,-135.313851,59.457578,02,230,70760,1088,43,07,1,1143,0200,-1,M,StreetAddress,E,100
AK,AK0069,002,Y,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,21054,R_16,0,2704,52,2017,00,00,00,-151.072406,60.492329,02,122,71640,58506,33,06,5,3040,0200,-1,M,PointAddress,E,100
AK,AK0070,002,Y,AK0070-002,SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9078617640,CE,6258,R_16,0,2132,52,2017,00,00,00,-148.877393,61.71099,02,170,74525,104365,42,08,2,1019,0200,11260,0,PointAddress,E,100
AK,AK0072,002,Y,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9078617645,CE,7840,R_16,0,2184,52,2017,00,00,00,-150.082461,62.298386,02,170,74830,104365,43,08,1.02,1041,0200,11260,0,PointAddress,E,100
AK,AK0073,002,Y,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,CE,848,R_16,0,420,42,2017,00,00,00,-152.080839,65.170496,02,290,75160,5526,43,07,2,1440,0200,-1,M,StreetName,E,100
AK,AK0074,002,Y,AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,CE,896,R_16,0,720,50,2017,00,00,00,-135.210892,57.777428,02,105,76260,2078,43,07,3,3359,0200,-1,M,StreetAddress,E,92.43
AK,AK0075,002,N,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANK,9078835623,CE,1019,R_16,0,1550,52,2017,00,00,00,-142.982127,63.335579,02,240,77800,6876,43,07,1,2084,0200,-1,M,StreetAddress,E,100
AK,AK0077,002,Y,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,M,VALDEZ-CORDOVA,9078354632,CE,15000,R_16,0,2860,52,2017,00,00,00,-146.354509,61.129889,02,261,82200,9355,43,06,3,5017,0200,-1,M,StreetAddress,E,100
AK,AK0078,002,Y,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7021,MATANUSKA-SUSITNA,9073765913,CE,8324,R_16,0,2016,52,2017,00,00,00,-149.441433,61.58298,02,170,83080,104365,32,03,8,3032,0200,11260,0,PointAddress,E,100
AK,AK0080,002,Y,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,MATANUSKA-SUSITNA,9074957323,CE,4111,R_16,0,-1,52,2017,00,00,00,-150.043355,61.738182,02,170,85280,104365,43,08,4.02,2044,0200,11260,0,Postal,E,100
AK,AK0081,002,Y,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,M,WRANGELL,9078743535,CE,5930,R_16,0,1976,52,2017,00,00,00,-132.386964,56.473191,02,275,86380,2411,M,07,3,2008,0200,-1,M,StreetAddress,E,100
AK,AK0082,002,Y,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,M,BETHEL,9077654631,CE,2500,IP15,-1,-1,-1,2017,00,00,00,-161.19229,60.885689,02,050,M,17968,43,07,1,3121,0200,-1,M,Postal,E,100
AK,AK0085,004,N,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,M,VALDEZ-CORDOVA,9078223015,CE,1440,R_16,0,786,52,2017,00,00,00,-144.434771,61.577439,02,261,14110,9355,43,07,1,4129,0200,-1,M,StreetAddress,E,95.4
AK,AK0087,002,Y,AK0087-002,KOYUK PUBLIC LIBRARY,3RD AND BIRCH STREET,KOYUK,99753,M,NOME,9079633971,CE,1000,IP15,-1,-1,-1,2017,00,00,00,-161.166658,64.930677,02,180,41940,9917,43,07,1,3186,0200,-1,M,StreetInt,E,95.7
AK,AK0091,002,Y,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,1 PHILLIP STREET,TULUKSAK,99679,M,BETHEL,9076955630,CE,1495,IP15,-1,-1,-1,2017,00,00,00,-160.173565,60.735224,02,050,M,17968,43,07,1,3116,0200,-1,M,Postal,E,100
AK,AK0094,003,Y,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,M,NORTH SLOPE,9077632541,BR,2225,R_16,0,503,47,2017,00,00,00,-160.029995,70.638212,02,185,82750,9606,43,07,2,2248,0200,-1,M,StreetName,E,100
AK,AK0094,004,Y,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,M,NORTH SLOPE,9073682662,BR,2849,R_16,0,314,30,2017,00,00,00,-166.783258,68.347301,02,185,61630,9606,43,07,2,1064,0200,-1,M,StreetName,E,100
AK,AK0094,005,Y,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,M,NORTH SLOPE,9076613226,BR,1230,R_16,0,575,48,2017,00,00,00,-151.73117,68.146899,02,185,02080,9606,43,07,2,3224,0200,-1,M,StreetAddress,E,90.92
AK,AK0094,006,Y,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,M,NORTH SLOPE,9076636315,BR,800,R_16,0,440,39,2017,00,00,00,-157.418819,70.48064,02,185,04500,9606,43,07,2,2221,0200,-1,M,StreetAddress,E,100
AK,AK0094,007,Y,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,M,NORTH SLOPE,9076406626,BR,2880,R_16,0,327,34,2017,00,00,00,-143.616861,70.129257,02,185,36990,9606,43,07,2,3483,0200,-1,M,StreetName,E,100
AK,AK0094,008,Y,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,99789,M,NORTH SLOPE,9074806712,BR,1305,R_16,0,435,38,2017,00,00,00,-151.004264,70.221678,02,185,56320,9606,43,07,2,3464,0200,-1,M,StreetName,E,88.65
AK,AK0094,009,Y,AK0094-009,KALI COMMUNITY/SCHOOL LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,M,NORTH SLOPE,9078332311,BR,888,R_16,0,253,25,2017,00,00,00,-163.018032,69.74659,02,185,61700,9606,M,07,2,1033,0200,-1,M,StreetName,E,100
AK,AK0094,010,Y,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,M,NORTH SLOPE,9078524050,CE,11500,R_16,0,3120,52,2017,00,00,00,-156.745752,71.300053,02,185,05200,9606,33,06,1,1104,0200,-1,M,StreetName,E,100
AK,AK0095,002,Y,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,M,BETHEL,9078253684,CE,1800,IP15,-1,-1,-1,2017,00,00,00,-161.420534,60.900132,02,050,00760,17968,43,07,1,3164,0200,-1,M,StreetName,E,100
AK,AK0097,002,Y,AK0097-002,ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,99829,M,SKAGWAY-ANGOON,9079453611,CE,4184,IP15,-1,-1,-1,2017,00,00,00,-135.441601,58.108151,02,105,33360,2078,M,07,3,2051,0200,-1,M,StreetAddress,E,100
AK,AK0099,002,N,AK0099-002,MOOSE PASS PUBLIC LIBRARY,38100 DEPOT ROAD,MOOSE PASS,99631,M,KENAI PENINSULA,9072883111,CE,360,R_16,0,500,50,2017,00,00,00,-149.368807,60.487489,02,122,50190,58506,43,07,3,1311,0200,-1,M,StreetName,E,100
AK,AK0100,001,Y,AK0100-002,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,9127 MAIN STREET,NIKOLAI,99691,M,YUKON-KOYUKUK,9072932427,CE,1640,R_16,0,480,48,2017,00,00,00,-154.379787,63.01305,02,290,54150,5526,43,07,4,2170,0200,-1,M,Postal,E,100
AK,AK0101,002,Y,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD,SAND POINT,99661,M,ALEUTIANS EAST,9073832393,CE,1950,IP15,-1,-1,-1,2017,00,00,00,-160.480725,55.353509,02,013,67020,3296,43,07,1,3195,0200,-1,M,StreetName,E,100
AK,AK0102,002,Y,AK0102-002,EGEGIK VILLAGE LIBRARY,289 AIRPORT ROAD,EGEGIK,99579,M,LAKE AND PENINSULA,9072332211,CE,790,R_16,0,-1,52,2017,00,00,00,-157.36269,58.202176,02,164,21150,1562,43,07,1,2103,0200,-1,M,StreetName,E,100
