STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,MAT_CENT,MAT_TYPE,CBSA,MICROF
AK,AK0047,003,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,0086,BRISTOL BAY,9072466531,BR,NO,840,R_11,0,R_11,1144,R_11,52,R_11,2012,00,00,00,-156.894168,58.71349,02,060,72190,1034,43,1,1066,0200,X,15,0,.
AK,AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,0147,BRISTOL BAY,9072464465,CE,NO,1456,R_11,0,R_11,2080,R_11,52,R_11,2012,00,00,00,-156.989536,58.876955,02,060,00000,1034,43,1,1013,0200,X,14,0,.
AK,AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,0040,YUKON-KOYUKUK,9078325812,CE,NO,2421,R_11,0,R_11,1536,R_11,52,R_11,2012,00,00,00,-149.092806,64.562446,02,290,53050,5748,43,2,2293,0200,0,1,0,.
AK,AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,0165,KENAI PENINSULA,9075673333,CE,NO,3200,R_11,0,R_11,1664,R_11,52,R_11,2012,00,00,00,-151.692235,60.027753,02,122,31710,56426,43,8,1075,0200,0,1,0,.
AK,AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,1281,NOME,9074436627,CE,NO,1800,R_11,0,R_11,2288,R_11,52,R_11,2012,00,00,00,-165.40543,64.497317,02,180,54920,9892,33,2,3027,0200,0,1,0,.
AK,AK0053,002,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,496 NORTHWAY ROAD,NORTHWAY,99764,0496,SE FAIRBANK,9077782310,CE,NO,2562,R_11,0,R_11,480,R_11,48,R_11,2012,00,00,15,-141.9413,62.944215,02,240,00000,7126,43,1,1617,0200,X,14,0,.
AK,AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6697,MATANUSKA-SUSITNA,9077611371,CE,NO,11400,R_11,0,R_11,2288,R_11,52,R_11,2012,00,00,00,-149.113741,61.598479,02,170,58660,91930,32,12.01000023,2018,0200,0,1,11260,0
AK,AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,0712,SKAGWAY-ANGOON,9077352500,CE,NO,1200,R_11,0,R_11,561,R_11,52,R_11,2012,00,00,00,-136.337271,58.187605,02,105,22140,2120,43,3,1171,0200,X,14,0,.
AK,AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,12 NORDIC DRIVE,PETERSBURG,99833,0549,WRANGELL-PETERSBU,9077723349,CE,NO,2645,R_11,0,R_11,2600,R_11,52,R_11,2012,00,00,00,-133.131502,56.851799,02,195,00000,3842,42,2,4135,0200,X,16,0,.
AK,AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,0049,KODIAK ISLAND,9074542288,CE,NO,1360,R_11,0,R_11,780,R_11,52,R_11,2012,00,00,00,-152.875038,57.872313,02,150,63610,13913,43,1,2274,0200,X,14,0,.
AK,AK0061,002,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,0905,ALEUTIANS WEST,9075463324,CE,NO,1280,R_11,0,R_11,576,R_11,48,R_11,2012,00,00,00,-170.256199,57.192818,02,016,66470,5521,43,1,1468,0200,X,15,0,.
AK,AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,0260,KENAI PENINSULA,9072347662,CE,NO,1923,R_11,0,R_11,804,R_11,52,R_11,2012,00,00,00,-151.531478,59.644617,02,122,33140,56426,43,10,1047,0200,X,14,0,.
AK,AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY MUSEUM,238 5TH AVENUE,SEWARD,99664,2389,KENAI PENINSULA,9072244008,CE,NO,7900,R_11,0,R_11,3172,R_11,52,R_11,2012,00,06,00,-149.438749,60.101718,02,122,68560,56426,43,13,2085,0200,0,1,0,.
AK,AK0067,002,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835,7570,SITKA,9077478708,CE,NO,7300,R_11,0,R_11,3692,R_11,52,R_11,2012,00,00,00,-135.334496,57.049585,02,220,70540,8914,33,2,4027,0200,0,1,0,.
AK,AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,0394,SKAGWAY-ANGOON,9079832665,CE,NO,3220,R_11,0,R_11,2320,R_11,52,R_11,2012,00,00,00,-135.308005,59.460613,02,230,70760,939,43,1,1144,0200,0,1,0,.
AK,AK0069,002,AK0069-002,SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY STREET,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,NO,14033,R_11,0,R_11,3068,R_11,52,R_11,2012,00,00,00,-151.072443,60.492436,02,122,71640,56426,33,5,3040,0200,0,1,0,.
AK,AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE MINE ROAD,SUTTON,99674,0266,MATANUSKA-SUSITNA,9077454467,CE,NO,2255,R_11,0,R_11,2132,R_11,52,R_11,2012,00,06,00,-148.905702,61.739613,02,170,74525,91930,43,2,1010,0200,X,15,11260,0
AK,AK0071,001,AK0071-002,TAKOTNA COMMUNITY LIBRARY,RIVERSIDE DRIVE,TAKOTNA,99675,7529,YUKON-KOYUKUK,9072982229,CE,NO,160,R_11,0,R_11,670,R_11,52,R_11,2012,00,00,00,-156.12234,62.970974,02,290,74610,5748,43,4,2232,0200,X,15,0,.
AK,AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,0768,MATANUSKA-SUSITNA,9077332359,CE,NO,2590,R_11,0,R_11,2184,R_11,52,R_11,2012,00,00,00,-149.911501,62.176984,02,170,74350,91930,43,1.019999981,2188,0200,X,15,11260,0
AK,AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,0109,YUKON-KOYUKUK,9073667356,CE,NO,848,R_11,0,R_11,320,R_11,32,R_11,2012,00,00,00,-151.957314,65.329839,02,290,00000,5748,43,2,1395,0200,X,14,0,.
AK,AK0074,002,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,0035,SKAGWAY-ANGOON,9077362248,CE,NO,896,R_11,0,R_11,576,R_11,48,R_11,2012,00,00,00,-135.212606,57.777531,02,105,76260,2120,43,3,3359,0200,X,14,0,.
AK,AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,0227,SE FAIRBANK,9078835623,CE,NO,960,R_11,0,R_11,1410,R_11,52,R_11,2012,00,00,00,-142.214893,63.910262,02,240,00000,7126,43,1,1258,0200,X,14,0,.
AK,AK0076,002,AK0076-002,TICASUK LIBRARY,28 HAPPY VALLEY ROAD,UNALAKLEET,99684,0028,NOME,9076243053,CE,NO,-3,U_11,-3,U_11,-3,U_11,-3,U_11,2012,23,00,00,-160.921,63.631463,02,180,00000,9892,43,1,4118,0200,X,14,0,.
AK,AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,260 FAIRBANKS STREET,VALDEZ,99686,0609,VALDEZ-CORDOVA,9078354632,CE,NO,15000,R_11,0,R_11,2860,R_11,52,R_11,2012,00,00,00,-146.354813,61.129881,02,261,82200,9730,43,3,5017,0200,0,1,0,.
AK,AK0078,002,AK0078-002,WASILLA META-ROSE PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7085,MATANUSKA-SUSITNA,9073765913,CE,NO,7687,R_11,0,R_11,2218,R_11,52,R_11,2012,00,00,00,-149.441449,61.583418,02,170,83080,91930,32,8,3025,0200,0,1,11260,0
AK,AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,0129,MATANUSKA-SUSITNA,9074957323,CE,NO,4111,R_11,0,R_11,2064,R_11,52,R_11,2012,00,00,00,-150.851603,61.33519,02,170,00000,91930,43,1.00999999,1625,0200,X,14,11260,0
AK,AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,0679,WRANGELL,9078743535,CE,NO,5930,R_11,0,R_11,1976,R_11,52,R_11,2012,00,00,00,-132.386948,56.473078,02,275,86380,2383,43,3,2008,0200,0,1,0,.
AK,AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,0049,BETHEL,9077654631,CE,NO,2500,R_11,0,R_11,483,R_11,48,R_11,2012,00,00,00,-161.196912,60.888674,02,050,00000,17468,43,1,3121,0200,X,15,0,.
AK,AK0085,004,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,9704,VALDEZ-CORDOVA,9078223015,CE,NO,1440,R_11,0,R_11,1020,R_11,51,R_11,2012,00,00,00,-144.043021,61.709958,02,261,00000,9730,43,1,4003,0200,X,11,0,.
AK,AK0087,002,AK0087-002,KOYUK PUBLIC LIBRARY,BIRCH STREET,KOYUK,99753,0069,NOME,9079633971,CE,NO,1000,R_11,0,R_11,960,R_11,48,R_11,2012,00,00,00,-161.141837,64.93803,02,180,41940,9892,43,1,3167,0200,X,15,0,.
AK,AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,1 PHILLIP STREET,TULUKSAK,99679,0115,BETHEL,9076955636,CE,NO,1495,R_11,0,R_11,520,R_11,52,R_11,2012,00,00,00,-160.952397,61.107769,02,050,78790,17468,43,1,3039,0200,X,14,0,.
AK,AK0092,004,AK0092-002,NAQIAKSRAT LIBRARY,130 ROCKY ROAD,WHITE MOUNTAIN,99784,0130,NOME,9076383411,CE,NO,562,R_11,0,R_11,576,R_11,48,R_11,2012,00,00,00,-162.484791,65.14118,02,180,00000,9892,43,1,3075,0200,X,14,0,.
AK,AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,0010,NORTH SLOPE,9077632541,BR,NO,2225,R_11,0,R_11,300,R_11,25,R_11,2012,00,00,00,-160.024847,70.639117,02,185,82750,9536,43,2,2237,0200,0,1,0,.
AK,AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,0148,NORTH SLOPE,9073682662,BR,NO,2849,R_11,0,R_11,564,R_11,47,R_11,2012,00,00,00,-166.771754,68.346059,02,185,61630,9536,43,2,1097,0200,0,1,0,.
AK,AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,0001,NORTH SLOPE,9076613226,BR,NO,1230,R_11,0,R_11,288,R_11,12,R_11,2012,00,00,00,-151.72397,68.147085,02,185,02080,9536,43,2,3420,0200,X,15,0,.
AK,AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,0001,NORTH SLOPE,9076336315,BR,NO,800,R_11,0,R_11,576,R_11,48,R_11,2012,00,00,00,-157.418523,70.475385,02,185,04500,9536,43,2,2224,0200,0,1,0,.
AK,AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,0020,NORTH SLOPE,9076406626,BR,NO,2880,R_11,0,R_11,384,R_11,32,R_11,2012,00,00,00,-143.631181,70.129089,02,185,36990,9536,43,2,3494,0200,0,1,0,.
AK,AK0094,008,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,99789,0167,NORTH SLOPE,9074806712,BR,NO,1305,R_11,0,R_11,468,R_11,39,R_11,2012,00,00,00,-151.00117,70.223123,02,185,56320,9536,43,2,3243,0200,0,1,0,.
AK,AK0094,009,AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,0001,NORTH SLOPE,9078332311,BR,NO,888,R_11,0,R_11,516,R_11,43,R_11,2012,00,00,00,-163.016573,69.74103,02,185,61700,9536,43,2,1110,0200,0,1,0,.
