STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,MAT_CENT
AK,AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,0165,KENAI PENINSULA,9075673333,CE,NO,3200,R_09,0,R_09,2010,00,00,00,-151.691726,60.0275,02,122,31710,54665,43,8,1026,00,0
AK,AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,1168,NOME,9074436628,CE,NO,1800,R_09,0,R_09,2010,00,00,00,-165.40543,64.49731,02,180,54920,9391,33,2,3021,00,0
AK,AK0053,002,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,99764,0496,SE FAIRBANK,9077782301,CE,NO,2562,R_09,0,R_09,2010,00,00,00,-141.945631,62.94483,02,240,00000,6892,43,1,1173,00,X
AK,AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077454690,CE,NO,11400,R_09,0,R_09,2010,00,00,00,-149.113741,61.59847,02,170,58660,88379,32,12,3047,00,0
AK,AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,0712,SKAGWAY-ANGOON,9077352500,CE,NO,1200,R_09,0,R_09,2010,00,00,00,-136.135508,58.10796,02,230,00000,920,43,3,2047,00,X
AK,AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,12 SOUTH NORDIC DRIVE,PETERSBURG,99833,0549,WRANGELL-PETERSBU,9077723349,CE,NO,2645,R_09,0,R_09,2010,00,00,00,-132.958255,56.80848,02,275,60310,2147,33,2,2000,00,0
AK,AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,0049,KODIAK ISLAND,9074542288,CE,NO,1360,R_09,0,R_09,2010,00,00,00,-152.883298,57.87453,02,150,63610,13346,43,1,2014,00,X
AK,AK0061,002,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,0905,ALEUTIANS WEST,9075463324,CE,NO,1280,R_09,0,R_09,2010,00,00,00,-170.27885,57.18359,02,016,66470,4659,43,1,1001,00,X
AK,AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,0275,KENAI PENINSULA,9072347856,CE,NO,1923,R_09,0,R_09,2010,00,00,00,-151.531478,59.64462,02,122,33140,54665,43,10,1034,00,X
AK,AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY,238 5TH AVENUE,SEWARD,99664,2389,KENAI PENINSULA,9072244008,CE,NO,7900,R_09,0,R_09,2010,00,00,00,-149.438759,60.10178,02,122,68560,54665,43,13,2079,00,0
AK,AK0067,002,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835,7570,SITKA,9077474021,CE,NO,7300,R_09,0,R_09,2010,00,00,00,-135.334496,57.04958,02,220,70540,8747,33,2,4008,00,0
AK,AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,0394,SKAGWAY-ANGOON,9079832665,CE,NO,3220,R_09,0,R_09,2010,00,00,00,-135.308005,59.46061,02,230,70760,920,43,1,1094,00,0
AK,AK0069,002,AK0069-002,SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY STREET,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,NO,14033,R_09,0,R_09,2010,00,00,00,-151.072559,60.49234,02,122,71640,54665,33,5,3024,00,0
AK,AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE MINE ROAD,SUTTON,99674,0266,MATANUSKA-SUSITNA,9077454467,CE,NO,2255,R_09,0,R_09,2010,00,00,00,-148.943896,61.7554,02,170,74525,88379,43,2,1118,00,X
AK,AK0071,001,AK0071-002,TAKOTNA COMMUNITY LIBRARY,RIVERSIDE DRIVE,TAKOTNA,99675,7529,YUKON-KOYUKUK,9072982229,CE,NO,160,R_09,0,R_09,2010,00,00,00,-156.124971,62.97515,02,290,74610,5627,43,4,2049,00,X
AK,AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,0768,MATANUSKA-SUSITNA,9077332359,CE,NO,2590,R_09,0,R_09,2010,00,00,00,-149.889417,62.17843,02,170,86470,88379,43,1,2026,00,X
AK,AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,7109,YUKON-KOYUKUK,9073667211,CE,NO,1125,R_09,0,R_09,2010,00,00,00,-151.892209,65.3268,02,290,00000,5627,43,2,1125,00,X
AK,AK0074,002,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,0035,SKAGWAY-ANGOON,9077362248,CE,NO,896,R_09,0,R_09,2010,00,00,00,-135.212133,57.77754,02,230,76260,920,43,3,3038,00,X
AK,AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,0227,SE FAIRBANK,9078835623,CE,NO,960,R_09,0,R_09,2010,00,00,00,-142.249751,63.9214,02,240,00000,6892,43,1,1110,00,X
AK,AK0076,002,AK0076-002,TICASUK LIBRARY,28 HAPPY VALLEY ROAD,UNALAKLEET,99684,0028,NOME,9076243053,CE,NO,364,R_09,0,R_09,2010,08,00,15,-160.921,63.631463,02,180,00000,9391,43,1,4053,00,X
AK,AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS STREET,VALDEZ,99686,0609,VALDEZ-CORDOVA,9078354632,CE,NO,15000,R_09,0,R_09,2010,00,00,00,-146.353761,61.12918,02,261,82200,9324,43,3,5004,00,0
AK,AK0078,002,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7085,MATANUSKA-SUSITNA,9073732242,CE,NO,7687,R_09,0,R_09,2010,00,00,00,-149.441507,61.58256,02,170,83080,88379,32,8,3024,00,0
AK,AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,0129,MATANUSKA-SUSITNA,9074957323,CE,NO,4111,R_09,0,R_09,2010,00,00,00,-150.98442,61.67003,02,170,00000,88379,43,1,1170,00,X
AK,AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND AVENUE,WRANGELL,99929,0679,WRANGELL,9078743535,CE,NO,5930,R_09,0,R_09,2010,00,00,00,-132.378872,56.45098,02,275,86380,2147,43,3,1002,00,X
AK,AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,0049,BETHEL,9077654631,CE,NO,2500,R_09,0,R_09,2010,00,00,00,-161.191724,60.88718,02,050,00870,17352,43,1,3976,00,X
AK,AK0085,004,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,9704,VALDEZ-CORDOVA,9078223015,CE,NO,1440,R_09,0,R_09,2010,00,00,00,-143.873988,61.66443,02,261,00000,9324,43,1,4000,00,X
AK,AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,PHILLIP STREET,TULUKSAK,99679,0115,BETHEL,9076955636,CE,NO,1495,R_09,0,R_09,2010,00,00,00,-160.95319,61.10831,02,050,78790,17352,43,1,3013,00,X
AK,AK0092,004,AK0092-002,NAQIAKSRAT LIBRARY,ROCKY ROAD & FISH RIVER ROAD,WHITE MOUNTAIN,99784,0130,NOME,9076383411,CE,NO,562,R_09,0,R_09,2010,00,00,00,-162.561429,65.00544,02,180,00000,9391,43,1,3056,00,X
AK,AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,0010,NORTH SLOPE,9077632541,BR,NO,2225,R_09,0,R_09,2010,00,00,00,-160.024847,70.63911,02,185,82750,6752,43,2,2016,00,0
AK,AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,0148,NORTH SLOPE,9073682662,BR,NO,2849,R_09,0,R_09,2010,00,00,00,-166.771754,68.34605,02,185,61630,6752,43,2,1030,00,0
AK,AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,0001,NORTH SLOPE,9076613226,BR,NO,1230,R_09,0,R_09,2010,00,00,00,-151.7245,68.14689,02,185,02080,6752,43,2,3093,00,X
AK,AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,0001,NORTH SLOPE,9076336315,BR,NO,800,R_09,0,R_09,2010,00,00,00,-157.418523,70.47538,02,185,04500,6752,43,2,2044,00,0
AK,AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,0020,NORTH SLOPE,9076406626,BR,NO,2880,R_09,0,R_09,2010,00,00,00,-143.631181,70.12908,02,185,36990,6752,43,2,3017,00,0
AK,AK0094,008,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,99789,0167,NORTH SLOPE,9074806712,BR,NO,1305,R_09,0,R_09,2010,00,00,00,-151.00117,70.22312,02,185,56320,6752,43,2,3120,00,0
AK,AK0094,009,AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,0001,NORTH SLOPE,9078332311,BR,NO,888,R_09,0,R_09,2010,00,00,00,-163.016573,69.741,02,185,61700,6752,43,2,1004,00,0
AK,AK0094,010,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,2130,NORTH SLOPE,9078524050,CE,NO,7000,R_09,0,R_09,2010,00,00,00,-156.75342,71.29845,02,185,05200,6752,33,1,1082,00,0
AK,AK0095,002,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,0190,BETHEL,9078253600,CE,NO,1800,R_09,0,R_09,2010,00,00,00,-161.409778,60.8781,02,050,00000,17352,43,1,3950,00,X
AK,AK0097,002,AK0097-002,ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,99829,0157,SKAGWAY-ANGOON,9079453611,CE,NO,4184,R_09,0,R_09,2010,00,00,00,-135.437574,58.10915,02,230,33360,920,43,3,2021,00,0
AK,AK0099,002,AK0099-002,MOOSE PASS PUBLIC LIBRARY,200 DEPOT ROAD,MOOSE PASS,99631,0154,KENAI PENINSULA,9072883111,CE,NO,360,R_09,0,R_09,2010,00,00,00,-149.508366,60.52465,02,122,50190,54665,43,3,1134,00,X
AK,AK0100,001,AK0100-002,NIKOLAI COMMUNITY/SCHOOL LIBRARY,TOP OF THE KUSKOKWIM SCHOOL BUILDIN,NIKOLAI,99691,9091,YUKON-KOYUKUK,9072932427,CE,NO,1640,R_09,0,R_09,2010,00,00,00,-154.374475,63.00669,02,290,54150,5627,43,4,2103,00,X
AK,AK0101,002,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD,SAND POINT,99661,0269,ALEUTIANS EAST,9073832393,CE,NO,1950,R_09,0,R_09,2010,00,00,00,-160.487593,55.34761,02,013,67020,2744,43,1,3006,00,0
AK,AK0102,002,AK0102-002,EGEGIK VILLAGE LIBRARY,289 AIRPORT WAY,EGEGIK,99579,0029,LAKE AND PENINSULA,9072332211,CE,NO,1500,R_09,0,R_09,2010,00,00,00,-157.335327,58.17839,02,164,21150,1485,43,1,2011,00,X
AK,AK0103,002,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,99683,0388,MATANUSKA-SUSITNA,9077331546,CE,NO,2762,R_09,0,R_09,2010,00,00,00,-150.321414,61.41243,02,170,00000,88379,42,5,2083,00,X
AK,AK0104,002,AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,210 TRAILWAY STREET,HOLY CROSS,99602,0210,YUKON-KOYUKUK,9074767131,CE,NO,1450,R_09,0,R_09,2010,00,00,00,-160.443036,62.22932,02,290,00000,5627,43,4,1017,00,X
AK,AK0113,002,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,130 THIRD STREET,OUZINKIE,99644,0130,KODIAK ISLAND,9076802323,CE,NO,600,R_09,0,R_09,2010,00,00,00,-152.508261,57.92122,02,150,58550,13346,42,1,2038,00,X
AK,AK0114,002,AK0114-002,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,NO. 1 ELEMENTARY SCHOOL ROAD,ST. GEORGE,99591,0959,ALEUTIANS WEST,9075463324,CE,NO,900,R_09,0,R_09,2010,00,00,00,-169.619142,56.58272,02,016,65800,4659,43,1,1045,00,X
AK,AK0115,002,AK0115-002,UNALASKA PUBLIC LIBRARY,63 ELEANOR DRIVE,UNALASKA,99685,1370,ALEUTIANS WEST,9075815060,CE,NO,9400,R_09,0,R_09,2010,00,00,00,-166.529689,53.87054,02,016,80770,4659,41,2,2003,00,0
AK,AK0116,001,AK0116-002,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,99557,0270,BETHEL,9076754435,CE,NO,400,R_09,0,R_09,2010,00,00,00,-156.683203,61.4908,02,050,00000,17352,43,3,2068,00,X
AK,AK0117,001,AK0117-002,HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,99923,0050,PR WALES-OUTER,2506369148,CE,NO,1200,R_09,0,R_09,2010,00,00,00,-130.036515,55.92994,02,198,34570,5560,43,3,1024,00,0
